0
score_country
score_sector
score_capital
score_momentum_span
score_momentum_creation
score_momentum_freq
score_momentum_recency
score_momentum_interround
score_momentum_recency_ratio
score_momentum_avg_round
score_momentum_per_year
score_age
score_diversification
score_inflation
score_gdp_growth
score_unemployment_rate
score_total
country_rate_shrink
woe_years_since_founded
woe_funding_total_usd
inflation_x_country_rate_shrink
gdp_growth_x_country_rate_shrink
unemployment_rate_x_country_rate_shrink
