"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
"Bahamas, The",12881.602,13435.532,14818.282,16078.556,16686.227,17687.927,18199.407,19018.055,19721.868,20613.26,21251.517,20695.596,20009.377,20195.331,20912.308,21833.764,22780.528,23914.711,24910.143,26632.508,27846.316,28767.528,29546.298,29300.863,29904.354,31423.405,32729.592,33618.529,33001.406,31379.366,31810.397,32338.255,33618.129,32878.606,33725.629,34029.174,33674.995,34875.399,35705.02,36264.3,26574.634,29490.156,34564.924,36353.911,37516.978,38425.276,39370.853,40292.751,41234.354,42198.444
Bahrain,18581.769,20102.143,21916.308,23563.966,24607.341,24311.869,24072.071,23527.684,24911.251,25240.686,26868.484,27275.915,29397.382,31541.574,32386.293,32825.803,33616.105,34088.225,35203.167,36849.769,39279.692,39687.204,38767.264,39055.478,39820.655,40638.703,41276.007,42426.318,43152.143,41804.67,42139.647,45289.273,47334.642,48899.301,49471.956,49100.582,49527.935,50184.501,51993.131,56599.521,53436.032,54939.776,61394.855,63497.708,65344.834,66966.504,68455.443,69873.915,71344.152,72908.242
Bangladesh,647.963,717.074,759.376,799.742,849.119,880.817,912.366,944.694,973.532,1012.269,1085.84,1133.387,1190.751,1247.386,1297.986,1361.098,1419.514,1477.3,1538.941,1600.894,1690.488,1782.374,1845.558,1937.359,2060.144,2230.258,2419.611,2628.146,2807.52,2934.397,3100.476,3330.677,3572.447,3807.441,4061.872,4319.664,4620.214,4959.53,5563.893,6116.365,6705.448,7485.821,8493.937,9211.637,9840.469,10366.621,11262.656,12192.428,13128.343,14114.542
Barbados,5961.667,6379.313,6422.299,6689.316,7161.266,7447.651,7959.82,8340.727,8905.425,9553.405,9550.154,9455.406,9088.031,9345.59,9701.917,10069.715,10621.381,11274.165,11782.971,11945.311,12716.139,12655.345,12915.851,13418.257,13930.276,14886.715,16154.968,16897.973,17271.39,16470.091,16233.358,16398.924,16573.89,16620.121,16883.556,16846.607,17264.116,17551.344,18179.889,18370.784,15483.649,15331.637,19304.709,20765.473,22034.88,23049.786,23956.738,24821.894,25717.121,26644.939
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5342.686,5454.441,5032.326,4749.381,4288.284,3912.4,4108.744,4680.081,5156.737,5419.114,5878.116,6332.947,6799.183,7473.184,8610.526,9786.517,11165.374,12515.594,14110.953,14256.837,15590.428,16793.214,17411.763,17885.245,18493.195,17926.204,17622.234,18413.748,20025.982,22301.593,24872.307,27029.591,27819.179,30115.084,32098.475,33602.546,35058.117,36378.346,37645.346,38869.191
Belgium,11587.427,12637.717,13510.518,14078.457,14953.921,15674.138,16279.228,17057.32,18472.391,19758.903,21098.606,22124.916,22895.221,23105.612,24282.628,25307.891,26079.651,27462.174,28254.388,29606.95,31325.266,32306.093,33218.249,34073.234,36097.485,37913.689,39830.274,42120.525,42791.131,41846.679,43219.579,44203.312,45050.958,45771.595,47122.552,48286.997,49041.109,50546.354,52661.794,56786.89,55809.1,62292.264,68373.48,71035.464,73221.637,75187.071,77338.936,79471.32,81671.517,84000.968
Belize,1576.994,1726.445,1663.718,1783.805,2002.91,1981.78,2107.878,2567.698,2889.339,3378.549,3788.552,4253.185,4751.456,5018.003,4987.282,4994.255,5012.368,5098.042,5164.972,5601.059,6299.981,6597.673,6868.089,7464.823,7818.739,8044.124,8433.084,8715.73,8518.389,8308.557,8319.038,8312.672,8625.556,8960.525,9277.746,9461.692,9356.287,9168.666,9562.404,10516.717,9587.38,11578.936,13684.529,14088.47,14957.565,15363.459,15778.888,16168.796,16558.546,16945.286
Benin,1000.044,1078.374,1129.563,1114.089,1123.53,1170.494,1188.804,1157.091,1200.065,1176.816,1289.662,1347.718,1376.366,1426.301,1431.693,1518.508,1572.262,1642.596,1675.145,1719.503,1805.749,1887.165,1946.178,1991.983,2072.475,2106.09,2188.655,2314.987,2403.226,2402.369,2411.157,2460.722,2551.659,2702.203,2839.732,2832.219,2868.733,2996.136,3072.773,3260.769,3354.18,3575.311,3961.229,4243.964,4500.581,4740.51,4979.908,5229.995,5479.693,5736.63
Bhutan,591.835,716.774,802.614,875.116,952.219,996.639,1063.558,1265.926,1461.517,1573.34,1760.782,1913.033,2023.867,2175.049,2302.131,2506.547,2683.76,2837.157,2967.396,3134.597,3336.714,3545.173,3830.763,4184.567,4492.212,4827.346,5194.537,5850.893,6473.355,6828.574,7501.84,8321.064,8928.525,9268.994,9660.724,10161.838,10894.869,11596.397,12096.051,12823.226,13261.552,13104.328,14574.759,15705.502,16754.619,18113.511,19440.756,20625.256,21976.373,23750.736
Bolivia,2430.63,2465,2462.82,2405.596,2436.557,2420.931,2356.906,2424.209,2529.909,2672.966,2842.218,3029.856,3085.519,3201.986,3327.887,3487.11,3633.446,3803.601,3961.586,3957.649,4027.093,4109.113,4198.489,4318.493,4538.187,4802.719,5099.915,5385.408,5730.643,5862.941,6080.516,6426.422,6775.007,7246.56,7658.776,7985.561,8282.807,8658.786,9109.609,9335.527,8426.851,9564.251,10473.553,11028.11,11322.892,11630.815,11929.672,12245.979,12570.099,12902.945
