"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
El Salvador,2304.797,2351.762,2321.399,2434.828,2540.71,2616.3,2647.053,2747.538,2857.671,2951.609,3155.187,3266.089,3526.128,3766.212,3983.266,4218.346,4294.12,4470.082,4606.687,4741.706,4875.26,5003.882,5141.878,5311.777,5494.999,5818.825,6262.242,6541.116,6782.044,6656.373,6853.245,7233.944,7546.712,7815.715,8056.794,8297.452,8562.739,8889.158,9120.919,9666.825,9306.08,10709.707,11752.865,12546.846,13172.75,13752.575,14335.526,14940.501,15570.297,16226.827
Equatorial Guinea,334.935,366.615,369.702,372.8,362.914,398.196,378.674,390.578,402.551,401.409,414.282,409.736,539.591,590.115,680.13,847.62,1269.715,3081.478,3738.122,4602.685,9515.063,14950.062,17435.19,19523.214,25051.652,26758.667,28082.972,31763.839,36421.575,35476.124,31258.975,32509.194,34337.269,32083.48,31452.117,27723.82,24556.627,22720.409,23009.456,20201.904,16693.918,20370.66,21939.96,20675.69,21750.628,20477.434,20522.1,20440.734,19445.619,19855.947
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,763.075,889.273,1108.653,1165.564,1300.056,1427.599,1464.681,1467.558,1283.819,1377.767,1379.654,1306.346,1301.405,1324.66,1310.104,1328.822,1067.665,1183.07,1306.466,1653.294,1696.833,1530.668,2020.603,1603.317,1720.68,1559.463,1765.072,1821.279,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7861.007,8080.677,8595.968,9322.555,10843.908,11552.113,11631.485,13031.697,14220.139,15515.872,17131.177,18900.842,21472.63,24439.44,27125.447,26301.385,22635.502,23525.454,25915.894,27465.933,28525.396,30047.031,30881.846,32130.211,34506.668,37121.032,40586.344,40666.157,45054.589,47655.811,47127.95,48008.04,49696.506,51854.487,53934.191,56103.366,58368.099
Eswatini,1588.307,1795.88,1868.461,1864.969,1912.394,1942.267,2269.965,2473.619,2665.235,2936.498,3249.365,3326.019,3423.581,3529.259,3610.169,3783.63,3921.933,4036.872,4148.964,4291.275,4424.294,4529.602,4757.741,4994.429,5267.038,5707.013,6180.726,6571.984,6704.394,6801.733,7094.235,7350.505,7835.534,8218.378,8379.776,8585.967,8699.317,8972.762,9081.196,9528.422,9510.048,10679.871,11374.09,12232.255,12963.227,13604.983,14179.218,14703.287,15216.754,15722.877
Ethiopia,367.381,392.669,409.26,444.598,435.702,385.503,417.755,472.095,475.946,476.485,490.563,454.876,409.616,459.619,470.197,493.766,554.114,563.384,531.041,557.203,609.384,652.256,655.936,638.245,713.537,807.639,904.764,1004.557,1101.204,1187.91,1296.098,1439.382,1555.198,1695.206,1854.273,2017.419,2148.87,2353.893,2471.908,2659.167,2870.372,3102.763,3461.319,3783.947,4045.132,4317.477,4636.262,5006.113,5419.282,5853.001
Fiji,2971.518,3365.816,3444.595,3343.745,3734.305,3649.631,3932.322,3725.031,3985.308,4624.485,5034.932,5024.119,5408.742,5636.098,6002.704,6249.998,6606.981,6500.423,6587.626,7200.458,7196.353,7472.201,7777.322,7935.246,8536.187,8634.643,9036.798,9114.751,9375.691,9241.097,9581.037,9990.744,10269.046,10896.346,11655.317,12240.627,12604.71,13310.275,13626.824,13505.507,11410.522,10807.749,13787.209,15266.481,16002.615,16739.299,17516.697,18312.798,19139.853,19983.54
Finland,9995.54,11044.626,12027.953,12810.488,13620.164,14476.792,15118.614,15995.905,17377.22,18916.928,19587.2,18967.121,18643.039,18838.602,19913.152,21104.518,22199.197,23954.16,25470.004,26899.895,29026.442,30405.926,31316.13,32505.528,34627.15,36586.713,39089.36,42110.285,43065.966,39638.998,41197.438,42861.116,42787.214,42887.378,43229.816,43670.461,45091.092,47277.069,49270.069,52311.043,53337.577,57425.707,62249.359,63558.656,64657.338,67073.815,69529.76,72001.842,74540.162,77118.459
France,11030.534,12150.186,13136.603,13743.685,14413.399,15045.545,15633.398,16352.266,17629.498,19057.383,20212.354,21067.798,21748.115,22068.896,23003.214,23984.443,24674.123,25651.161,26754.337,27922.978,29618.654,30632.093,31235.431,31945.929,33407.096,34875.545,36741.338,38427.306,39056.204,38020.907,39005.251,40601.828,41249.77,42122.014,43069.392,43711.461,44329.6,46036.968,48036.424,52925.444,51249.728,55824.593,61168.64,63880.888,65940.409,67657.609,69647.163,71732.486,73892.342,76048.883
Gabon,7947.47,8171.654,8837.942,9166.11,9747.836,10410.307,10173.077,8629.841,9047.824,10619.865,11335.191,12047.557,11579.889,12030.527,12432.817,12999.818,13383.131,14044.024,14337.361,12916.956,12644.675,12885.191,12790.111,12940.935,13109.96,13087.542,12910.949,13689.822,13675.617,12954.096,13423.587,14135.027,14599.492,15077.581,15459.394,15688.786,15763.971,15761.197,16586.908,17385.296,15952.302,20623.766,22485.811,23345.612,24128.778,24682.194,25242.568,25804.264,26371.961,26966.941
"Gambia, The",1082.71,1009.933,1248.749,1416.421,1302.449,1337.946,1342.247,1358.466,1374.115,1431.312,1507.787,1529.932,1529.822,1536.169,1464.903,1498.552,1524.594,1504.639,1571.248,1643.661,1719.149,1801.074,1713.99,1809.149,1926.759,1881.099,1870.534,1921.245,2019.87,2104.275,2189.123,1991.602,2071.289,2102.28,2045.936,2085.039,2082.577,2157.112,2396.833,2533.134,2631.596,2871.409,3132.812,3318.339,3491.217,3649.815,3789.811,3934.259,4084.688,4240.921
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4650.39,2614.001,1934.935,1920.107,2090.896,2439.738,2839.312,3041.098,3243.052,3444.661,3762.672,4077.467,4654.58,5092.839,5786.594,6575.654,7633.39,8020.62,7813.253,8522.217,9454.664,10358.464,11137.826,11800.116,12292.16,12813.996,13724.766,15009.736,16755.191,16817.378,18814.285,22607.12,24849.107,27363.366,29533.153,31612.06,33831.223,36204.519,38744.748
Germany,12003.464,13128.892,13840.176,14656.853,15678.333,16569.585,17299.89,17985.846,19198.78,20527.236,22090.714,23675.121,24540.969,24738.95,25859.594,26747.917,27464.266,28441.571,29389.265,30447.833,32020.94,33251.964,33666.354,34159.366,35529.052,37021.162,39716.227,42063.619,43386.427,41376.37,43723.628,46310.615,47305.297,48164.52,49859.442,50714.424,51947.703,54110.278,56273.259,59270.69,58685.778,62950.306,67869.332,69531.553,70930.357,72660.471,74941.003,77132.71,79185.471,81221.332
Ghana,1069.71,1100.537,1046.156,995.154,1054.818,1132.77,1199.736,1281.746,1380.577,1465.384,1538.372,1627.422,1698.071,1778.146,1834.984,1905.825,1984.003,2083.269,2158.207,2231.939,2194.297,2271.29,2354.136,2462.965,2603.389,2784.561,2966.713,3098.773,3365.87,3500.273,3625.685,4116.225,4439.615,4730.303,4838.131,4875.859,4977.533,5361.918,5739.391,6219.567,6265.228,6844.165,7448.843,7746.145,7975.131,8263.472,8608.854,8973.404,9356.08,9754.708
Greece,9491.498,10104.867,10545.995,10770.949,11324.889,11919.394,12185.6,12161.48,13090.184,14061,14496.77,15223.641,15536.254,15554.417,16113.279,16723.025,17429.984,18454.275,19272.544,20043.609,21246.037,22495.97,23627.752,25426.16,27369.582,28320.484,30746.468,32520.83,32961.766,31641.996,30205.392,27689.491,26293.668,26264.52,27037.827,27407.789,27723.049,28568.958,29594.694,31602.312,29034.041,32679.886,37728.587,40047.873,42065.72,43800.613,45427.569,47013.388,48629.198,50259.887
Grenada,2305.573,2513.852,2703.569,2814.733,2956.389,3184.603,3479.756,3919.191,4231.017,4618.386,5025.727,5262.335,5300.114,5261.497,5411.41,5593.201,5903.207,6265.205,7052.088,7620.835,8155.549,8146.134,8481.057,9403.612,9599.19,11243.375,11098.943,12066.245,12377.851,11644.18,11740.733,11890.215,11868.036,12242.195,13272.852,14165.924,14726.434,15577.303,16507.359,16943.246,14768.09,15690.216,17937.981,19358.429,20305.806,21369.088,22356.666,23247.806,24175.897,25156.594
Guatemala,3162.827,3397.959,3393.846,3351.992,3403.487,3402.724,3387.863,3506.572,3678.422,3876.553,4047.034,4195.085,4371.796,4511.035,4651.325,4837.651,4943.93,5113.37,5282.447,5425.324,5550.179,5712.383,5887.035,6024.149,6246.036,6516.171,6934.637,7425.731,7668.815,7608.436,7778.832,8120.805,8368.007,8671.162,9056.322,9354.83,9537.154,9845.385,10250.274,11079.627,11271.403,12166.32,13386.991,14158.391,14791.412,15385.546,16025.122,16704.378,17411.631,18147.977
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1076.073,1080.72,1076.687,1092.646,1102.248,1129.454,1163.217,1214.326,1248.534,1292.509,1332.376,1388.526,1458.275,1479.651,1525.975,1587.701,1639.414,1749.203,1808.556,1744.614,1792.46,1882.725,1979.791,2040.558,2099.431,2146.325,2342.607,2566.02,2718.324,2970.821,3189.645,3580.528,3890.884,4156.733,4321.381,4535.432,4765.539,4998.854,5246.312,5505.993
Guinea-Bissau,707.084,754.292,817.375,803.627,860.36,906.691,896.862,951.992,985.203,1032.937,1098.431,1191.484,1228.476,1257.753,1293.582,1343.762,1388.9,1465.345,1124.681,1304.137,1319.931,1384.573,1426.965,1420.595,1444.862,1554.305,1609.942,1659.536,1729.592,1743.181,1849.248,1996.086,1955.407,2009.236,2019.519,2116.722,2201.79,2297.997,2276.179,2318.515,2314.153,2525.711,2768.689,2954.584,3110.196,3257.12,3413.713,3577.132,3731.853,3894.813
Guyana,2613.593,2871.149,2779.472,2563.793,2726.061,2840.073,2913.064,3008.724,2954.97,2955.196,2998.291,3295.646,3631.241,4012.121,4426.912,4722.068,5169.734,5553.691,5497.775,5718.753,5754.062,6007.2,6171.144,6256.742,6528.91,6599.904,7137.776,7824.794,8111.433,8398.624,8848.688,9484.512,10121.128,10627.377,10951.644,11085.731,11522.48,12095.585,12590.932,13630.708,17258.773,22509.125,39016.926,53584.551,78666.763,91383.498,109005.609,133923.2,154283.45,175314.793
Haiti,1715.246,1863.668,1889.581,1899.97,1937.6,1978.316,1987.77,1992.233,2049.679,2063.925,2088.797,2146.895,2105.185,2007.645,1774.204,1953.185,2033.046,2085.208,2115.92,2165.27,2195.386,2200.303,2222.082,2308.147,2302.383,2408.616,2485.847,2629.681,2706.591,2836.817,2665.516,2813.708,2834.882,2960.619,3016.614,3075.08,3113.143,3200.275,3080.717,3057.23,2971.271,3004.659,3122.885,3132.982,3038.798,3083.626,3145.809,3208.669,3272.636,3337.916
Honduras,1646.422,1724.956,1739.621,1769.257,1890.483,1998.035,2084.386,2211.478,2261.579,2346.332,2431.564,2362.066,2491.252,2640.567,2627.397,2768.644,2791.026,2885.759,2938.06,2875.997,3070.462,3140.362,3224.2,3351.717,3567.666,3810.096,4089.404,4360.601,4532.605,4356.939,4482.762,4659.316,4850.5,4979.801,5129.899,5283.507,5445.688,5711.331,5729.331,5887.529,5480.914,6309.195,6917.546,7295.076,7604.664,7875.471,8178.355,8495.864,8825.296,9167.607
Hong Kong SAR,6607.768,7714.871,8299.876,8989.824,10093.309,10354.416,11598.078,13358.546,14857.784,15640.586,16772.771,18129.315,19456.686,20763.602,22041.299,22483.829,23144.761,24554.318,23132.858,23851.899,25972.298,26631.449,27511.767,28748.212,31931.428,35158.461,38417.886,41803.213,43355.847,42352.829,45407.223,48183.238,49486.805,51602.91,53639.58,54999.344,56203.88,59088.281,60614.794,61118.848,58612.912,65988.196,67440.889,71627.003,75406.842,78716.519,82066.77,85347.562,88540.686,91773.191
Hungary,6283.729,7078.056,7736.723,8115.459,8657.243,8943.396,9297.658,9961.839,10350.834,10880.329,10941.518,9968.03,9882.328,10066.619,10599.968,11111.489,11341.809,11923.125,12552.959,13156.101,14099.38,15036.562,16033.538,17071.585,18453.448,19886.755,21353.392,22016.778,22713.592,21375.613,21905.383,22838.58,23097.871,23969.937,25501.908,26749.662,27671.196,29465.955,31900.914,35145.915,34960.437,38565.064,43394.415,44960.952,46807.165,49147.382,51689.051,54350.963,57262.031,60325.124
Iceland,11767.197,13290.557,14238.602,14271.654,15211.404,16061.608,17297.582,19087.132,19471.053,19935.947,20770.038,21250.262,20689.057,21240.13,22249.484,22579.394,23954.998,25591.512,27528.853,28691.079,30435.295,31877.027,32188.44,33306.857,36604.692,39654.356,42544.434,46193.045,46935.322,43071.873,42592.152,45095.231,46224.661,48742.578,49811.824,51967.281,55252.854,57461.212,58959.285,62445.341,57754.297,64494.53,73939.85,78250.289,78808.044,80318.312,81701.137,83193.011,84794.424,86450.115
India,525.894,596.496,640.717,698.386,734.429,779.732,815.005,849.33,943.112,1016.101,1088.893,1113.957,1177.137,1236.697,1320.264,1421.442,1526.662,1585.165,1670.287,1809.978,1887.37,1986.707,2057.444,2224.294,2424.178,2655.356,2913.145,3174.395,3288.308,3519.405,3812.002,4039.199,4281.486,4572.709,4935.502,5316.103,5741.261,6169.499,6742.708,7181.522,6997.36,8087.994,9207.162,10233.445,11111.708,11937.803,12834.683,13801.299,14844.902,15973.137
Indonesia,1108.676,1280.542,1363.269,1447.441,1582.002,1662.898,1783.078,1909.607,2073.928,2305.48,2556.535,2832.017,3035.156,3299.565,3565.002,3874.674,4205.51,4427.95,3845.525,3885.913,4124.152,4309.204,4508.776,4749.843,5050.913,5428.429,5820.651,6268.284,6767.976,7029.645,7462.433,7940.979,8456.574,8954.663,9439.798,9873.843,10335.112,10932.638,11621.366,12236.943,11929.526,12947.903,14446.108,15553.573,16542.109,17520.283,18567.813,19683.203,20870.786,22139.597
Iran,4241.316,4213.506,5303.459,5891.988,5455.761,5517.856,4887.339,4879.726,4630.584,4984.536,5732.984,6520.128,6789.073,6748.638,6677.772,6880.493,7343.717,7454.671,7589.742,7767.14,8274.631,8519.948,9198.535,9939.515,10488.917,10994.787,11713.818,12823.953,12970.655,13014.598,13755.922,14220.902,13779.996,13625.979,14376.28,14127.202,15327.154,15805.786,15568.857,13987.376,14729.12,15734.664,17318.121,18658.141,19606.813,20368.816,21105.059,21778.666,22394.462,23028.821
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3869.281,5931.361,6060.006,6437.552,6578.251,7086.729,7192.171,7545.736,8074.595,9135.847,9748.961,9540.221,9813.391,11204.428,10939.446,12859.969,13062.877,11181.921,13380.409,15053.193,14766.838,14756.731,15256.469,15954.732,16534.341,17140.716,17778.171
Ireland,8167.815,9052.342,9652.77,9889.389,10499.748,11008.404,11275.733,11955.934,12805.701,14139.896,15816.809,16526.407,17366.225,18089.453,19500.291,21725.696,23969.822,26722.163,29083.205,32229.77,35538.962,37674.631,39824.041,41156.594,44267.882,47125.612,49575.252,52126.105,49950.488,47370.412,48529.24,50164.394,50671.095,52371.121,57797.603,71974.851,72520.361,80112.223,85910.709,91670.644,97529.356,116027.715,131949.742,126991.82,127750.161,131548.377,135646.979,139769.915,144014.855,148542.17
Israel,7629.665,8683.774,9186.811,9589.733,10026.053,10614.849,11041.409,11967.404,12620.685,13076.516,14024.921,14283.343,15112.829,15640.976,16665.2,18161.913,19104.283,19662.752,20187.911,20637.596,22307.731,22338.374,22215.605,22571.073,23837.606,25178.067,26924.973,28822.724,29779.791,29622.778,31065.974,32843.726,33649.247,34974.134,36228.343,36664.414,37904.619,39487.892,40206.234,41369.206,41200.707,46530.862,51999.599,53810.401,54446.208,55847.399,58505.532,60298.692,62239.823,64292.363
Italy,11771.03,12705.308,13535.492,14220.175,15208.123,16121.401,16913.488,17886.94,19289.36,20710.471,21909.073,22954.989,23661.983,23995.792,25026.078,26287.439,27089.152,28044.773,28857.675,29754.507,31601.744,32940.016,33522.934,34091.986,35262.374,36372.472,38008.63,39459.175,39476.581,37347.16,38205.62,39095.938,38478.711,38312.485,38934.793,39677.359,40638.216,42097.133,43539.369,46593.584,44284.674,50377.31,56682.063,59164.515,60992.864,62603.046,64262.313,65905.617,67663.962,69507.68
Jamaica,3089.368,3468.975,3733.273,3961.292,4133.929,4163.128,4503.743,4934.832,4876.133,5295.162,5661.517,5863.174,6117.485,6348.298,6547.77,6791.76,6867.755,6805.248,6732.245,6828.586,6973.054,7158.368,7276.685,7664.807,7946.509,8239.438,8708.739,9041.741,9108.207,8820.713,8768.961,9052.77,9151.103,9316.085,9524.825,9683.173,9913.649,10144.014,10362.742,10412.425,9298.4,9917.426,11166.521,11856.177,12283.257,12754.526,13184.062,13625.614,14081.312,14552.417
Japan,8800.027,9970.132,10856.993,11611.353,12479.54,13454.365,14102.047,15050.83,16549.425,17975.127,19485.591,20771.982,21361.108,21696.691,22337.983,23346.612,24465.497,25071.797,24964.62,25185.818,26417.417,27052.325,27426.44,28345.164,29720.361,31200.987,32606.041,33983.429,34231.458,32517.785,34249.99,34900.287,36117.685,37533.424,38364.455,39368.764,40047.948,41518.116,42247.099,42817.548,42564.888,44663.481,48567.965,51399.027,53059.36,54906.862,56687.757,58416.124,60205.145,61983.116
Jordan,3978.393,4812.043,5184.022,5225.136,5460.28,5325.545,5498.734,5528.705,5623.388,4978.377,4834.162,4476.357,5072.676,5141.603,5253.22,5453.077,5474.343,5624.512,5735.887,5876.295,6131.295,6445.445,6828.192,7078.298,7674.941,8392.323,8774.344,9166.308,9791.54,10121.597,10253.763,10481.513,10781.548,10545.068,9857.833,9299.528,9123.083,9282.611,9044.51,9405.461,9523.548,9115.022,9880.029,10455.864,10916.507,11379.997,11863.302,12347.639,12841.119,13344.506
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6828.369,6402.82,6114.901,5776.57,5986.287,6312.263,6359.449,6647.44,7473.259,8687.856,9687.029,10760.714,12026.842,13486.962,15228.561,16839.558,17515.701,17370.983,18600.612,20118.282,21216.682,22524.164,23552.474,23660.483,23759.938,24789.304,25997.288,29767.629,30164.604,34233.476,36660.837,39463.307,41366.311,43610.172,45477.242,47509.562,49021.435,50931.171
Kenya,1378.921,1514.744,1630.37,1662.191,1691.738,1758.038,1859.005,1945.219,2064.229,2169.507,2279.815,2314.84,2271.959,2256.112,2295.929,2377.443,2452.475,2440.074,2467.972,2477.725,2473.689,2560.589,2545.688,2597.334,2714.454,2879.394,3060.466,3264.645,3244.385,3282.894,3506.842,3676.764,3829.085,3944.517,4115.285,4269.19,4389.964,4526.682,4773.528,5042.165,5127.992,5711.521,6302.92,6772.284,7157.32,7522.579,7909.141,8319.058,8747.405,9201.521
Kiribati,932.98,1062.657,1068.748,1025.938,1187.321,1031.784,1001.413,1013.98,1249.718,1174.461,1112.609,1069.959,1337.418,1348.413,1385.551,1433.035,1434.118,1451.323,1507.182,1444.107,1550.015,1507.433,1525.039,1503.075,1506.458,1545.43,1649.203,1708.426,1653.354,1636.832,1641.291,1706.999,1815.416,1962.802,1995.537,2211.373,2352.164,2444.097,2545.46,2628.959,2606.314,2910.01,3187.12,3386.612,3611.797,3770.909,3904.934,4012.032,4108.025,4206.217
"Korea, Republic of",2249.499,2599.872,2944.837,3418.714,3867.828,4260.76,4790.993,5480.16,6291.63,6931.893,7824.181,8872.391,9537.466,10329.527,11412.555,12644.212,13759.97,14722.252,14022.48,15739.33,17432.121,18524.335,20152.219,21072.419,22670.69,24348.952,26277.959,28422.675,29614.869,29887.594,32202.01,33817.494,35139.529,36746.215,38346.444,39623.062,41104.719,43155.911,45511.086,46511.218,47881.492,51880.381,57202.241,60046.345,62960.47,65581.597,68333.628,71173.03,74100.315,77117.266
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5005.584,5351.322,5272.345,5420.044,5277.246,5618.517,5915.868,6489.355,6652.059,6918.451,7234.856,7828.578,8001.615,8371.768,8686.965,9444.731,9974.216,10392.703,11010.244,11813.549,11229.946,13181.825,14826.023,15864.08,16851.898,17835.465,18883.66,19970.643,21119.232,22312.64
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,36860.186,36768.643,35659.015,34744.016,34662.98,35483.613,33998.765,35873.104,36009.723,36350.15,42302.879,46583.658,56587.911,60477.431,63578.83,57635.923,53887.884,50428.632,50978.824,52445.55,51537.797,50508.332,48904.016,48856.58,45771.221,50248.116,50450.879,42076.157,52419.561,52295.559,50933.256,49736.258,51287.073,52480.945,53741.358,55051.948,56405.898
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2489.763,2180.359,1778.006,1709.293,1835.137,2023.244,2058.081,2130.077,2264.601,2415.367,2429.724,2627.988,2854.102,2902.522,3053.315,3366.074,3661.456,3748.52,3727.371,3987.215,4003.592,4427.468,4593.829,4719.358,4868.029,5088.044,4921.011,5471.463,5345.188,5906.108,6752.063,7279.263,7772.556,8134.34,8451.869,8847.608,9181.554,9539.162
Lao P.D.R.,585.413,725.161,788.123,822.364,882.936,967.291,1006.065,992.833,978.169,1085.954,1158.168,1209.481,1285.995,1355.134,1457.541,1553.586,1652.031,1757.77,1819.543,1886.139,2018.544,2127.679,2272.293,2424.455,2631.976,2860.833,3162.515,3448.281,3731.267,3970.215,4276.504,4645.077,5028.408,5447.492,5883.419,6279.648,6682.186,7159.945,7511.151,7790.914,7756.007,8029.626,8734.752,9250.172,9727.288,10112.551,10485.883,10837.133,11188.749,11544.711
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6303.245,5734.238,6079.43,6385.675,6754.75,7553.736,8203.56,8625.701,9390.375,10331.883,11393.152,12714.796,14280.35,16501.298,19233.41,21905.624,21770.011,19032.304,18772.726,20087.99,22222.117,23293.228,24419.484,25801.843,26896.071,28557.902,30762.065,33187.953,33605.287,36608.228,40752.931,41938.071,43526.926,45447.109,47533.963,49709.151,51982.987,54362.975
Lebanon,7493.863,8074.895,5343.895,6733.428,9899.3,12445.328,11545.22,13473.106,9821.629,5785.598,5097.939,7138.58,7469.188,8024.194,8695.723,9283.741,9653.595,10627.597,10975.843,10857.024,11041.614,11547.32,11968.778,12252.349,13318.509,13897.951,14311.461,15768.417,17249.584,18886.818,20456.232,20853.772,21221.166,20430.073,19277.085,19163.547,20088.481,21139.403,22107.63,21779.086,13566.375,10711.023,11806.614,12453.967,no data,no data,no data,no data,no data,no data
Lesotho,466.02,512.276,559.74,584.315,646.135,670.481,692.426,696.028,756.656,810.07,870.016,954.062,995.596,1034.71,1088.952,1100.765,1183.846,1242.678,1272.415,1307.974,1389.41,1466.396,1524.036,1618.848,1695.467,1805.405,1937.772,2059.977,2164.001,2170.574,2293.52,2442.814,2598.797,2671.824,2755.988,2852.661,2914.15,2865.909,2840.241,2755.645,2810.687,2787.964,2997.264,3135.253,3260.421,3355.499,3442.148,3536.412,3632.654,3733.382
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1282.302,1298.995,1345.299,957.903,1003.48,1067.64,1154.084,1289.163,1337.801,1360.868,1413.313,1504.82,1614.084,1739.494,1736.307,1708.652,1654.232,1683.226,1763.071,1800.756,1614.957,1560.62,1711.021,1810.556,1902.323,2002.749,2110.778,2228.041,2351.757,2481.442
Libya,23950.738,20039.931,20628.196,19602.339,17851.237,18630.485,16217.298,13594.243,13419.811,14300.087,16331.916,19519.343,18629.48,17632.776,18229.304,15408.15,15669.402,15267.286,15058.984,15003.633,15686.317,16210.405,15611.369,18216.86,19476.626,21902.509,22242.914,23890.938,23898.212,22679.013,23785.029,12295.466,22057.874,18446.909,14459.642,14327.725,14107.291,18837.552,19853.87,17112.593,11617.318,13442.505,13081.838,14781.326,15350.964,17587.855,18467.019,18988.516,19551.793,20162.372
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7098.163,7664.898,8505.979,9317.899,9408.846,10051.071,11044.27,12067.704,13708.384,15162.303,17154.97,19305.709,22292.533,23510.804,20406.851,21426.728,23736.511,25437.265,27086.67,28761.785,29891.988,31349.538,33736.503,36377.096,40590.098,41134.624,46424.91,50531.851,51129.222,53623.635,55995.397,58415.535,61309.94,64328.476,67496.098
Luxembourg,17414.62,19156.511,20534.824,21741.507,23572.26,25629.441,28622.856,30293.672,33725.204,38104.593,41164.841,45615.033,46861.839,49284.397,51509.632,53092.898,54097.478,57556.454,61218.568,66477.976,72668.619,75646.978,78407.334,81262.775,85697.374,89361.128,96014.428,105012.972,105036.098,100250.921,103481.424,104696.851,105700.081,108409.747,110575.806,111437.514,115391.026,116089.425,117649.071,122611.519,122954.959,139106.428,148583.602,148693.702,151145.794,154914.923,158549.179,162001.03,165479.031,169008.744
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38276.286,41929.414,47075.394,59103.858,62935.922,69387.361,77843.761,80375.939,82974.859,103141.652,126876.655,135191.535,145885.12,138827.228,108168.277,108774.217,120112.544,128074.555,124749.596,57413.763,74101.781,63359.208,117032.907,130416.65,140245.545,147011.334,152988.805,159033.109,165771.964
Madagascar,947.748,911.326,924.479,944.026,969.337,985.15,997.94,1007.679,1050.601,1106.631,1153.065,1087.739,1096.285,1116.012,1106.071,1114.663,1125.642,1152.65,1175.87,1212.064,1256.93,1322.29,1141.85,1240.974,1302.14,1365.734,1440.496,1518.31,1603.186,1503.634,1486.587,1496.173,1524.048,1539.309,1571.125,1587.588,1617.97,1661.708,1656.275,1715.3,1578.279,1685.297,1826.879,1911.404,1989.82,2061.846,2139.34,2221.467,2311.044,2404.26
Malawi,412.006,415.625,440.992,462.281,487.503,503.169,484.939,475.015,477.682,477.998,504.719,554.277,519.048,579.422,527.178,605.018,664.438,702.894,698.87,714.172,717.935,688.605,685.525,722.856,765.791,799.511,839.058,918.554,980.17,1038.441,1091.867,1135.778,1145.745,1191.523,1245.505,1257.919,1262.343,1298.938,1281.5,1356.486,1415.382,1575.454,1655.638,1691.672,1713.774,1764.67,1822.226,1884.929,1951.567,2020.583
Malaysia,3046.045,3479.717,3816.793,4111.786,4479.04,4437.081,4456.372,4690.606,5209.392,5764.608,6248.068,6969.37,7549.821,8262.185,8968.753,9794.23,10691.542,11379.682,10391.447,10903.4,11815.28,11827.458,12349.747,13010.596,13944.407,14771.257,15864.637,17149.238,17992.286,17523.183,18733.38,19804.071,20953.984,21791.24,23123.814,24131.69,25085.146,26690.329,28247.327,29750.268,28696.214,31385.057,36517.067,38693.715,41021.961,43095.313,45314.5,47462.175,49740.352,52154.679
Maldives,2105.475,2392.599,2646.872,2770.58,3254.579,3674.708,3920.938,4263.511,4677.236,5177.699,4960.454,5234.956,5544.23,5823.46,6228.007,6700.491,7284.384,8010.793,8712.523,9285.517,9798.11,9947.67,10543.542,12078.905,12951.26,11686.052,14630.012,15785.205,17267.538,15693.317,16689.692,18189.048,18652.614,19956.088,21526.294,22216.11,23506.664,25192.811,28335.785,30275.11,17833.051,25595.121,30717.555,32541.081,34322.076,35984.299,37769.275,39544.438,41399.833,43323.224
Mali,566.86,579.703,532.824,559.384,581.311,607.225,645.673,666.895,679.31,767.477,853.7,931.719,919.265,954.478,990.534,1019.638,1090.726,1137.23,1154.549,1210.224,1201.436,1375.203,1395.522,1503.837,1517.96,1613.636,1684.34,1732.257,1790.129,1825.054,1884.971,1922.979,1886.542,1906.203,2011.989,2089.202,2162.381,2244.519,2307.161,2437.558,2371.085,2456.262,2637.795,2762.817,2843.339,2926.792,3029.588,3135.461,3244.905,3358.172
