woe_funding_total_usd__funding_total_usd,woe_years_since_founded__years_since_founded,woe_years_since_last_funding__years_since_last_funding,woe_funding_rounds__funding_rounds,woe_funding_per_year__funding_per_year,num__months_since_last_round,num__financial_regulation_insurance_regulation,num__has_www,num__rounds_per_year,num__avg_interround_days,num__intellectual_property_rights,num__diff_founded_first_funding_days,num__inflation,num__gdp_growth,num__startup_regulation_index,num__category_list_len,num__unemployment_rate,num__url_complexity,num__financial_regulation_banking_supervision,num__diff_founded_last_funding_days,num__domain_length,num__funding_per_year,num__has_https,num__financial_regulation_securities_regulation,num__momentum_recency_ratio,num__funding_per_round,num__control_of_corruption,num__capital_dummy,num__regulatory_quality,num__rule_of_law,num__investor_protection,num__diff_between_fundings_days,eb_country_code__country_code,eb_primary_sector__primary_sector,eb_subregion__subregion,eb_currency__currency,eb_sector__category_list
5.225313517244001976e-02
4.184499230800411973e-02
1.300498517635536311e-01
5.594668869046906176e-03
1.545863300994416989e-02
5.397539429294844204e-01
6.227640513348055469e-03
7.587423737818794166e-03
4.907958443445913782e-02
2.094458517355547722e-02
1.171302381688122231e-03
3.054208108410472883e-02
9.557866561624812560e-03
1.495668686208701491e-02
2.316068297177006213e-03
7.296196378371179458e-02
9.720587289459970901e-03
1.164462412312575190e-02
3.995897894469815806e-04
5.732172256059863552e-02
3.435567070332077450e-02
3.612946156869397546e-02
3.701476774965636787e-03
0.000000000000000000e+00
1.439319850753495167e-01
3.505390945151243276e-02
7.704116788634304130e-03
1.668132939316499530e-02
0.000000000000000000e+00
1.334121714303411303e-02
9.725651775937874371e-04
1.390220975006913225e-02
8.100708914424234464e-02
3.135344040211954231e-01
2.661662079057729169e-02
5.941233931619546021e-02
1.882431433546764565e-01
